Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,AY077834.1_Sheeppox_virus_NISKHI_1994,MW020571.1_Sheeppox_virus_V104_sheep
KBTB1_1,KBTB1_1,Kelch repeat and BTB domain-containing protein A55,2,2,1.0,1,150,,,,1428,1644,1536.0,KGOPFGHK_00139,ILJDMEPN_00139
group_111,,hypothetical protein,2,2,1.0,1,149,,,,732,753,742.5,KGOPFGHK_00140,ILJDMEPN_00140
group_110,,hypothetical protein,2,2,1.0,1,148,,,,723,723,723.0,KGOPFGHK_00150,ILJDMEPN_00150
group_109,,hypothetical protein,2,2,1.0,1,147,,,,723,723,723.0,KGOPFGHK_00001,ILJDMEPN_00001
group_108,,hypothetical protein,2,2,1.0,1,146,,,,96,96,96.0,KGOPFGHK_00126,ILJDMEPN_00126
group_107,,hypothetical protein,2,2,1.0,1,145,,,,96,96,96.0,KGOPFGHK_00017,ILJDMEPN_00017
group_106,,hypothetical protein,2,2,1.0,1,144,,,,126,126,126.0,KGOPFGHK_00116,ILJDMEPN_00116
group_105,,hypothetical protein,2,2,1.0,1,143,,,,138,138,138.0,KGOPFGHK_00022,ILJDMEPN_00022
group_104,,hypothetical protein,2,2,1.0,1,142,,,,147,147,147.0,KGOPFGHK_00025,ILJDMEPN_00025
group_103,,hypothetical protein,2,2,1.0,1,141,,,,156,156,156.0,KGOPFGHK_00006,ILJDMEPN_00006
group_102,,hypothetical protein,2,2,1.0,1,140,,,,159,159,159.0,KGOPFGHK_00107,ILJDMEPN_00107
RPO7,RPO7,DNA-directed RNA polymerase 7 kDa subunit,2,2,1.0,1,139,,,,192,192,192.0,KGOPFGHK_00052,ILJDMEPN_00052
group_101,,hypothetical protein,2,2,1.0,1,138,,,,204,204,204.0,KGOPFGHK_00100,ILJDMEPN_00100
group_100,,hypothetical protein,2,2,1.0,1,137,,,,216,216,216.0,KGOPFGHK_00041,ILJDMEPN_00041
group_99,,hypothetical protein,2,2,1.0,1,136,,,,219,219,219.0,KGOPFGHK_00019,ILJDMEPN_00019
group_98,,hypothetical protein,2,2,1.0,1,135,,,,225,225,225.0,KGOPFGHK_00115,ILJDMEPN_00115
group_97,,Protein A19,2,2,1.0,1,134,,,,225,225,225.0,KGOPFGHK_00106,ILJDMEPN_00106
group_96,,Protein A2.5,2,2,1.0,1,133,,,,228,228,228.0,KGOPFGHK_00089,ILJDMEPN_00089
group_95,,hypothetical protein,2,2,1.0,1,132,,,,234,234,234.0,KGOPFGHK_00127,ILJDMEPN_00127
group_94,,Virion membrane protein A9,2,2,1.0,1,131,,,,237,237,237.0,KGOPFGHK_00096,ILJDMEPN_00096
group_93,,Protein I5,2,2,1.0,1,130,,,,237,237,237.0,KGOPFGHK_00043,ILJDMEPN_00043
group_92,,Protein G3,2,2,1.0,1,129,,,,246,246,246.0,KGOPFGHK_00048,ILJDMEPN_00048
group_91,,Protein K3,2,2,1.0,1,128,,,,270,270,270.0,KGOPFGHK_00010,ILJDMEPN_00010
group_90,,Protein L2,2,2,1.0,1,127,,,,279,279,279.0,KGOPFGHK_00058,ILJDMEPN_00058
group_89,,Core protein A15,2,2,1.0,1,126,,,,288,288,288.0,KGOPFGHK_00102,ILJDMEPN_00102
group_88,,Virion membrane protein A14,2,2,1.0,1,125,,,,288,288,288.0,KGOPFGHK_00101,ILJDMEPN_00101
group_87,,putative FAD-linked sulfhydryl oxidase E10,2,2,1.0,1,124,,,,288,288,288.0,KGOPFGHK_00037,ILJDMEPN_00037
group_86,,hypothetical protein,2,2,1.0,1,123,,,,303,303,303.0,KGOPFGHK_00012,ILJDMEPN_00012
group_85,,hypothetical protein,2,2,1.0,1,122,,,,312,312,312.0,KGOPFGHK_00018,ILJDMEPN_00018
group_84,,Phosphoprotein F17,2,2,1.0,1,121,,,,315,315,315.0,KGOPFGHK_00028,ILJDMEPN_00028
group_83,,hypothetical protein,2,2,1.0,1,120,,,,321,321,321.0,KGOPFGHK_00125,ILJDMEPN_00125
group_82,,hypothetical protein,2,2,1.0,1,119,,,,351,351,351.0,KGOPFGHK_00144,ILJDMEPN_00144
group_81,,Glutaredoxin-2,2,2,1.0,1,118,,,,381,381,381.0,KGOPFGHK_00050,ILJDMEPN_00050
group_80,,Protein E11,2,2,1.0,1,117,,,,393,393,393.0,KGOPFGHK_00038,ILJDMEPN_00038
L5R,L5R,Protein L5,2,2,1.0,1,116,,,,399,399,399.0,KGOPFGHK_00061,ILJDMEPN_00061
group_79,,Protein J5,2,2,1.0,1,115,,,,402,402,402.0,KGOPFGHK_00066,ILJDMEPN_00066
group_78,,hypothetical protein,2,2,1.0,1,114,,,,408,408,408.0,KGOPFGHK_00137,ILJDMEPN_00137
group_77,,Envelope protein A28,2,2,1.0,1,113,,,,423,423,423.0,KGOPFGHK_00113,ILJDMEPN_00113
group_76,,hypothetical protein,2,2,1.0,1,112,,,,438,438,438.0,KGOPFGHK_00026,ILJDMEPN_00026
DUT,DUT,Deoxyuridine 5'-triphosphate nucleotidohydrolase,2,2,1.0,1,111,,,,441,441,441.0,KGOPFGHK_00014,ILJDMEPN_00014
H7R,H7R,Late protein H7,2,2,1.0,1,110,,,,444,444,444.0,KGOPFGHK_00074,ILJDMEPN_00074
group_75,,Protein J1,2,2,1.0,1,109,,,,444,444,444.0,KGOPFGHK_00062,ILJDMEPN_00062
group_74,,hypothetical protein,2,2,1.0,1,108,,,,450,450,450.0,KGOPFGHK_00112,ILJDMEPN_00112
VLTF2,VLTF2,Viral late gene transcription factor 2,2,2,1.0,1,107,,,,453,453,453.0,KGOPFGHK_00087,ILJDMEPN_00087
D4L,D4L,Core protein D4,2,2,1.0,1,106,,,,468,468,468.0,KGOPFGHK_00076,ILJDMEPN_00076
group_73,,hypothetical protein,2,2,1.0,1,105,,,,486,486,486.0,KGOPFGHK_00147,ILJDMEPN_00147
group_72,,hypothetical protein,2,2,1.0,1,104,,,,486,486,486.0,KGOPFGHK_00128,ILJDMEPN_00128
group_71,,hypothetical protein,2,2,1.0,1,103,,,,486,486,486.0,KGOPFGHK_00091,ILJDMEPN_00091
group_70,,hypothetical protein,2,2,1.0,1,102,,,,486,486,486.0,KGOPFGHK_00011,ILJDMEPN_00011
group_69,,hypothetical protein,2,2,1.0,1,101,,,,489,489,489.0,KGOPFGHK_00007,ILJDMEPN_00007
group_68,,DNA-directed RNA polymerase 18 kDa subunit,2,2,1.0,1,100,,,,492,492,492.0,KGOPFGHK_00081,ILJDMEPN_00081
group_67,,DNA-directed RNA polymerase 19 kDa subunit,2,2,1.0,1,99,,,,504,504,504.0,KGOPFGHK_00092,ILJDMEPN_00092
group_66,,Resolvase A22,2,2,1.0,1,98,,,,507,507,507.0,KGOPFGHK_00109,ILJDMEPN_00109
BCRF1,BCRF1,Viral interleukin-10,2,2,1.0,1,97,,,,507,507,507.0,KGOPFGHK_00002,ILJDMEPN_00002
group_65,,Protein A34,2,2,1.0,1,96,,,,516,516,516.0,KGOPFGHK_00119,ILJDMEPN_00119
group_64,,putative dual specificity protein phosphatase H1,2,2,1.0,1,95,,,,516,516,516.0,KGOPFGHK_00068,ILJDMEPN_00068
group_63,,hypothetical protein,2,2,1.0,1,94,,,,519,519,519.0,KGOPFGHK_00122,ILJDMEPN_00122
group_62,,hypothetical protein,2,2,1.0,1,93,,,,525,525,525.0,KGOPFGHK_00053,ILJDMEPN_00053
group_61,,hypothetical protein,2,2,1.0,1,92,,,,531,531,531.0,KGOPFGHK_00013,ILJDMEPN_00013
TK,TK,Thymidine kinase,2,2,1.0,1,91,,,,534,534,534.0,KGOPFGHK_00063,ILJDMEPN_00063
E3L,E3L,Protein E3,2,2,1.0,1,90,,,,534,534,534.0,KGOPFGHK_00031,ILJDMEPN_00031
group_60,,hypothetical protein,2,2,1.0,1,89,,,,537,537,537.0,KGOPFGHK_00145,ILJDMEPN_00145
group_59,,hypothetical protein,2,2,1.0,1,88,,,,543,543,543.0,KGOPFGHK_00133,ILJDMEPN_00133
group_58,,25 kDa core protein A12L,2,2,1.0,1,87,,,,573,573,573.0,KGOPFGHK_00099,ILJDMEPN_00099
group_57,,Protein H2,2,2,1.0,1,86,,,,573,573,573.0,KGOPFGHK_00069,ILJDMEPN_00069
group_56,,Protein A35,2,2,1.0,1,85,,,,576,576,576.0,KGOPFGHK_00120,ILJDMEPN_00120
group_55,,Virion membrane protein A17 precursor,2,2,1.0,1,84,,,,585,585,585.0,KGOPFGHK_00104,ILJDMEPN_00104
group_54,,hypothetical protein,2,2,1.0,1,83,,,,585,585,585.0,KGOPFGHK_00032,ILJDMEPN_00032
group_53,,Protein A33,2,2,1.0,1,82,,,,591,591,591.0,KGOPFGHK_00118,ILJDMEPN_00118
group_52,,hypothetical protein,2,2,1.0,1,81,,,,594,594,594.0,KGOPFGHK_00064,ILJDMEPN_00064
group_51,,hypothetical protein,2,2,1.0,1,80,,,,636,636,636.0,KGOPFGHK_00009,ILJDMEPN_00009
group_50,,Protein F9,2,2,1.0,1,79,,,,651,651,651.0,KGOPFGHK_00020,ILJDMEPN_00020
UNG,UNG,Uracil-DNA glycosylase,2,2,1.0,1,78,,,,657,657,657.0,KGOPFGHK_00078,ILJDMEPN_00078
group_49,,hypothetical protein,2,2,1.0,1,77,,,,660,660,660.0,KGOPFGHK_00027,ILJDMEPN_00027
group_48,,Late transcription elongation factor G2,2,2,1.0,1,76,,,,669,669,669.0,KGOPFGHK_00049,ILJDMEPN_00049
PSHR,PS/HR,Protein B5,2,2,1.0,1,75,,,,681,681,681.0,KGOPFGHK_00136,ILJDMEPN_00136
D9R,D9R,mRNA-decapping protein D9,2,2,1.0,1,74,,,,681,681,681.0,KGOPFGHK_00082,ILJDMEPN_00082
H5R,H5R,Late transcription elongation factor H5,2,2,1.0,1,73,,,,681,681,681.0,KGOPFGHK_00072,ILJDMEPN_00072
VLTF3,VLTF3,Viral late gene transcription factor 3,2,2,1.0,1,72,,,,684,684,684.0,KGOPFGHK_00088,ILJDMEPN_00088
group_47,,hypothetical protein,2,2,1.0,1,71,,,,696,696,696.0,KGOPFGHK_00003,ILJDMEPN_00003
group_46,,hypothetical protein,2,2,1.0,1,70,,,,723,723,723.0,KGOPFGHK_00135,ILJDMEPN_00135
group_45,,27 kDa core protein,2,2,1.0,1,69,,,,738,738,738.0,KGOPFGHK_00077,ILJDMEPN_00077
L1R,L1R,Protein L1,2,2,1.0,1,68,,,,738,738,738.0,KGOPFGHK_00057,ILJDMEPN_00057
group_44,,mRNA-decapping protein D10,2,2,1.0,1,67,,,,762,762,762.0,KGOPFGHK_00083,ILJDMEPN_00083
L4R,L4R,Core protein VP8,2,2,1.0,1,66,,,,762,762,762.0,KGOPFGHK_00060,ILJDMEPN_00060
group_43,,Protein A32,2,2,1.0,1,65,,,,771,771,771.0,KGOPFGHK_00117,ILJDMEPN_00117
VLTF1,VLTF1,Late transcription factor 1,2,2,1.0,1,64,,,,783,783,783.0,KGOPFGHK_00055,ILJDMEPN_00055
group_42,,Protein E8,2,2,1.0,1,63,,,,798,798,798.0,KGOPFGHK_00035,ILJDMEPN_00035
group_41,,hypothetical protein,2,2,1.0,1,62,,,,804,804,804.0,KGOPFGHK_00123,ILJDMEPN_00123
